date,open,high,low,close,volume
2024-06-05,2909.55,2942.94,2892.64,2936.28,17168027
2024-06-06,2963.08,2993.89,2920.63,2934.13,11416200
2024-06-07,2937.53,2945.79,2928.47,2939.46,12923142
2024-06-10,2937.28,2952.81,2925.35,2948.81,22000000
2024-06-11,2948.47,2961.68,2938.34,2958.11,19185718
2024-06-12,2958.2,2962.68,2942.02,2947.47,22000000
2024-06-13,2947.66,2964.55,2939.54,2952.62,6510983
2024-06-14,2955.74,2964.3,2945.75,2951.41,7426690
2024-06-18,2948.68,2985.84,2935.6,2974.89,22000000
2024-06-19,2979.0,2995.47,2974.67,2990.48,22000000
2024-06-20,2984.7,3010.34,2969.14,3007.3,22000000
2024-06-21,3001.65,3011.85,2982.56,2989.32,22000000
2024-06-24,3002.28,3013.81,2950.57,2964.28,22000000
2024-06-25,2968.0,2979.29,2936.34,2955.93,21684551
2024-06-26,2952.18,2960.6,2947.53,2954.34,6807214
2024-06-27,2951.31,2966.28,2941.51,2962.46,22000000
2024-06-28,2968.79,3002.83,2963.92,2992.66,22000000
2024-07-01,2983.87,2997.59,2975.11,2982.53,18127703
2024-07-02,2978.59,2983.75,2968.65,2972.28,22000000
2024-07-03,2959.83,2978.54,2956.51,2973.06,9575125
2024-07-04,2975.66,2993.42,2964.96,2986.94,12435033
2024-07-05,2996.72,3006.34,2985.73,2994.59,11085450
2024-07-08,2987.83,3000.58,2969.2,2976.85,22000000
2024-07-09,2985.48,3027.67,2969.34,3010.59,22000000
2024-07-10,3039.69,3055.25,2968.75,2981.0,21936924
2024-07-11,2979.4,2982.49,2962.38,2972.68,21404726
2024-07-12,2969.78,3029.21,2942.28,3003.95,20483815
2024-07-15,2998.62,3006.19,2991.79,2998.05,17936968
2024-07-16,3000.79,3009.02,2989.53,2992.68,12355258
2024-07-18,3005.58,3012.43,2995.14,3008.03,22000000
2024-07-19,3015.08,3037.78,2962.19,2980.91,22000000
2024-07-22,2996.43,3001.57,2938.25,2957.87,17070678
2024-07-23,2947.15,2962.08,2929.19,2933.68,22000000
2024-07-24,2937.77,2946.32,2912.72,2921.94,21109950
2024-07-25,2930.6,2961.93,2882.45,2893.13,22000000
2024-07-26,2884.04,2900.02,2864.28,2869.07,12313207
2024-07-29,2875.22,2934.29,2861.44,2919.68,22000000
2024-07-30,2915.82,2951.81,2893.94,2936.85,22000000
2024-07-31,2927.28,2949.14,2921.59,2939.71,12319519
2024-08-01,2947.27,2964.06,2921.22,2931.72,8098598
2024-08-02,2952.45,2958.48,2906.71,2915.19,22000000
2024-08-05,2914.72,2931.66,2907.16,2912.95,17553283
2024-08-06,2909.4,2926.94,2868.46,2882.83,22000000
2024-08-07,2905.51,2931.58,2862.43,2867.91,22000000
2024-08-08,2873.46,2877.29,2867.49,2874.16,8724720
2024-08-09,2876.03,2884.87,2850.89,2861.2,17924965
2024-08-12,2872.08,2888.95,2853.33,2861.23,13383771
2024-08-13,2866.86,2927.08,2838.57,2921.07,22000000
2024-08-14,2916.9,2934.89,2908.48,2927.64,18938784
2024-08-16,2934.98,2948.85,2885.08,2903.63,14275690
2024-08-19,2890.08,2902.15,2860.4,2877.85,22000000
2024-08-20,2870.72,2888.65,2864.49,2882.67,21587492
2024-08-21,2874.31,2879.39,2865.76,2871.2,15493278
2024-08-22,2873.25,2883.42,2866.41,2872.68,17569517
2024-08-23,2869.65,2893.18,2862.97,2887.65,11097143
2024-08-26,2887.43,2897.89,2862.13,2874.27,10836344
2024-08-27,2879.91,2894.77,2859.52,2869.83,16831861
2024-08-28,2866.01,2869.67,2837.19,2845.03,22000000
2024-08-29,2841.51,2868.85,2837.6,2859.37,22000000
2024-08-30,2858.75,2873.33,2853.94,2866.43,12248950
2024-09-02,2883.45,2891.7,2823.47,2846.4,11302441
2024-09-03,2850.65,2872.21,2843.85,2863.63,21705058
2024-09-04,2866.84,2877.79,2851.88,2858.42,9915399
2024-09-05,2858.16,2878.9,2840.38,2864.49,11420295
2024-09-06,2870.91,2886.09,2865.98,2879.83,21669913
2024-09-09,2873.32,2882.55,2863.04,2871.01,8662277
2024-09-10,2878.83,2887.39,2854.64,2863.62,22000000
2024-09-11,2880.75,2891.54,2871.52,2884.63,13073594
2024-09-12,2887.81,2909.58,2860.26,2867.59,22000000
2024-09-13,2872.82,2901.86,2864.95,2890.72,22000000
2024-09-17,2887.14,2891.4,2880.44,2884.24,19688198
2024-09-18,2893.2,2937.34,2876.16,2923.75,22000000
2024-09-19,2916.0,2959.14,2906.8,2941.5,20226927
2024-09-20,2943.69,2955.62,2910.21,2914.67,22000000
2024-09-23,2916.47,2947.92,2911.77,2930.78,22000000
2024-09-24,2937.78,2941.85,2890.47,2911.87,22000000
2024-09-25,2921.96,2932.58,2907.39,2920.87,22000000
2024-09-26,2920.5,2934.01,2911.28,2927.88,15952089
2024-09-27,2923.03,2935.57,2904.75,2914.03,9614314
2024-09-30,2908.74,2916.85,2897.51,2903.02,22000000
2024-10-01,2900.61,2938.95,2882.33,2927.5,20088149
2024-10-03,2917.71,2922.0,2903.06,2912.53,22000000
2024-10-04,2916.21,2939.17,2891.54,2908.6,7435768
2024-10-07,2900.23,2970.22,2883.48,2946.35,22000000
2024-10-08,2948.79,2955.72,2942.15,2950.49,19896022
2024-10-09,2952.19,2971.78,2947.45,2965.77,22000000
2024-10-10,2951.34,2977.53,2936.55,2969.05,9415124
2024-10-11,2971.3,2983.54,2947.07,2954.16,22000000
2024-10-14,2957.1,2994.16,2904.83,2920.33,22000000
